,w,LENSE_above,LENSE_all,LENSE_below
88,0.26842105263157895,0.4368421052631579,0.45379664870845726,0.5
89,0.26842105263157895,0.4789473684210527,0.48355203513733114,0.5
90,0.26842105263157895,0.5210526315789473,0.515008294479725,0.5
91,0.26842105263157895,0.5631578947368421,0.5449276355470436,0.5
92,0.26842105263157895,0.6052631578947368,0.576477337965206,0.5
93,0.26842105263157895,0.6473684210526316,0.6068055685522735,0.5
94,0.26842105263157895,0.6894736842105262,0.6385891521731173,0.5
95,0.26842105263157895,0.731578947368421,0.6680830222676278,0.5
96,0.26842105263157895,0.7736842105263158,0.7001972769384993,0.5
97,0.26842105263157895,0.8157894736842105,0.7297722400681215,0.5
98,0.26842105263157895,0.8578947368421053,0.76110572472717,0.5
99,0.26842105263157895,0.9,0.7921055408810707,0.5
100,0.31052631578947365,0.1,0.22926325705155348,0.5
101,0.31052631578947365,0.14210526315789473,0.25693767915034205,0.5
102,0.31052631578947365,0.1842105263157895,0.285511339115726,0.5
103,0.31052631578947365,0.22631578947368422,0.313930443384699,0.5
104,0.31052631578947365,0.26842105263157895,0.3413876672876388,0.5
105,0.31052631578947365,0.31052631578947365,0.37104147618641714,0.5
106,0.31052631578947365,0.3526315789473684,0.4001426177738433,0.5
107,0.31052631578947365,0.39473684210526316,0.42787024159333964,0.5
108,0.31052631578947365,0.4368421052631579,0.4577655957001108,0.5
109,0.31052631578947365,0.4789473684210527,0.485077234927733,0.5
110,0.31052631578947365,0.5210526315789473,0.5136496929363135,0.5
111,0.31052631578947365,0.5631578947368421,0.541423081458526,0.5
112,0.31052631578947365,0.6052631578947368,0.5708502842734839,0.5
113,0.31052631578947365,0.6473684210526316,0.599991556900109,0.5
114,0.31052631578947365,0.6894736842105262,0.6264230881999213,0.5
115,0.31052631578947365,0.731578947368421,0.6561423241239379,0.5
116,0.31052631578947365,0.7736842105263158,0.6853460257208074,0.5
117,0.31052631578947365,0.8157894736842105,0.7135971893646396,0.5
118,0.31052631578947365,0.8578947368421053,0.7410622178897611,0.5
119,0.31052631578947365,0.9,0.7695230725217087,0.5
120,0.3526315789473684,0.1,0.24573631370937177,0.5
121,0.3526315789473684,0.14210526315789473,0.27256235851715904,0.5
