,model,basin,period_start,period_end,lense,nse
11174,VIC_conus,14400000,1997-10-01,1998-09-30,0.5779676759016723,0.6623273634171062
11175,VIC_conus,01022500,1998-10-01,1999-09-30,0.38660987154849513,0.045753173048563966
11176,VIC_conus,01031500,1989-10-01,1999-09-30,0.49277751838723516,0.34334120468389606
11177,VIC_conus,01047000,1989-10-01,1990-09-30,0.5970762902952125,0.27600902261267013
11178,VIC_conus,01052500,1990-10-01,1991-09-30,0.423341282788514,0.4223306367911266
11179,VIC_conus,01055000,1991-10-01,1992-09-30,0.5491937487912811,0.32043657321807584
11180,VIC_conus,01057000,1992-10-01,1993-09-30,0.16005313403699606,0.36462302753763975
11181,VIC_conus,01073000,1993-10-01,1994-09-30,0.521570970421689,0.20845996754803942
11182,VIC_conus,01078000,1994-10-01,1995-09-30,0.8774312288804338,0.2670690975856562
11183,VIC_conus,01123000,1995-10-01,1996-09-30,0.16025324408158315,0.25053801692080635
11184,VIC_conus,01137500,1996-10-01,1997-09-30,0.08767121349192719,-0.03965496303645977
11185,VIC_conus,01139800,1997-10-01,1998-09-30,0.42866252625222423,0.48235570770602565
11186,VIC_conus,01142500,1998-10-01,1999-09-30,0.581430427531503,0.4689477684437686
11187,VIC_conus,01144000,1989-10-01,1999-09-30,0.4645093910819472,0.36335577395373597
11188,VIC_conus,01169000,1989-10-01,1990-09-30,0.17765166541773914,0.22455420703157558
11189,VIC_conus,01170100,1990-10-01,1991-09-30,0.727120090662551,0.38029311851200587
11190,VIC_conus,01181000,1991-10-01,1992-09-30,0.8228515467527562,0.4937390486189369
11191,VIC_conus,01187300,1992-10-01,1993-09-30,-0.02907846309205908,0.32384204422142604
11192,VIC_conus,01195100,1993-10-01,1994-09-30,0.1666159878054294,0.30054014818218766
11193,VIC_conus,01333000,1994-10-01,1995-09-30,0.8355767946379031,0.317609068467091
11194,VIC_conus,01350000,1995-10-01,1996-09-30,-1.625216333736716,0.08067983613927276
11195,VIC_conus,01350080,1996-10-01,1997-09-30,-0.46643030014552833,0.23373426504078854
11196,VIC_conus,01365000,1997-10-01,1998-09-30,0.493214098971297,0.5175457046358984
11197,VIC_conus,01411300,1998-10-01,1999-09-30,0.45237820564314,0.2601468530240296
11198,VIC_conus,01413500,1989-10-01,1999-09-30,0.2462975520447046,0.3110851280847692
11199,VIC_conus,01414500,1989-10-01,1990-09-30,0.671276472344561,0.31637248435311693
11200,VIC_conus,01415000,1990-10-01,1991-09-30,0.7688777692540218,0.3733813105974817
11201,VIC_conus,01423000,1991-10-01,1992-09-30,0.8034570480943953,0.36940467176468683
11202,VIC_conus,01434025,1992-10-01,1993-09-30,0.27255001921931754,0.44031910185229706
11203,VIC_conus,01435000,1993-10-01,1994-09-30,0.39195620315565405,0.39053738932822335
11204,VIC_conus,01439500,1994-10-01,1995-09-30,0.8186863408613347,0.1778332600442858
11205,VIC_conus,01440000,1995-10-01,1996-09-30,-0.10852351557565743,0.09491791278493533
11206,VIC_conus,01440400,1996-10-01,1997-09-30,0.4559681779858519,0.2351324687466605
11207,VIC_conus,01451800,1997-10-01,1998-09-30,0.6862588481839498,0.4323462564216054
11208,VIC_conus,01484100,1998-10-01,1999-09-30,0.21927876238442867,-0.2602774617969703
11209,VIC_conus,01491000,1989-10-01,1999-09-30,0.28563240910007404,0.3307801963347229
11210,VIC_conus,01510000,1989-10-01,1990-09-30,0.6855141095863213,0.3183830871831548
11211,VIC_conus,01516500,1990-10-01,1991-09-30,0.38871783999423937,0.20906248672343652
11212,VIC_conus,01518862,1991-10-01,1992-09-30,0.7920943426588049,0.19385656808135965
11213,VIC_conus,01532000,1992-10-01,1993-09-30,-0.4902747000074801,0.1837276959937254
11214,VIC_conus,01539000,1993-10-01,1994-09-30,0.44572025795783643,0.40260184804334487
11215,VIC_conus,01542810,1994-10-01,1995-09-30,0.7678012118250651,0.3807107040631469
11216,VIC_conus,01543500,1995-10-01,1996-09-30,-0.25858288524421646,0.10345306308982882
11217,VIC_conus,01544500,1996-10-01,1997-09-30,-0.4119887215468081,0.32102528664568986
11218,VIC_conus,01545600,1997-10-01,1998-09-30,0.13845789978573964,0.1817598087570894
11219,VIC_conus,01547700,1998-10-01,1999-09-30,0.8910562179432141,0.30470750113084766
11220,VIC_conus,01548500,1989-10-01,1999-09-30,0.17967087316186403,0.27035751366148875
11221,VIC_conus,01549500,1989-10-01,1990-09-30,0.650833367243695,0.05829990732044077
11222,VIC_conus,01550000,1990-10-01,1991-09-30,0.07122084957110408,0.2558113141278976
11223,VIC_conus,01552000,1991-10-01,1992-09-30,0.6777457530368857,0.1027433161314919
11224,VIC_conus,01552500,1992-10-01,1993-09-30,-0.3985638513077512,0.1435326159950795
11225,VIC_conus,01557500,1993-10-01,1994-09-30,0.11674833594278688,0.4490400412774894
11226,VIC_conus,01567500,1994-10-01,1995-09-30,0.24103122810618527,0.27266808029825185
11227,VIC_conus,01568000,1995-10-01,1996-09-30,-1.0864238446563115,0.23111161715960826
11228,VIC_conus,01580000,1996-10-01,1997-09-30,0.06061617942082609,0.1972034976647722
11229,VIC_conus,01586610,1997-10-01,1998-09-30,0.2252888052523312,0.1239423163009109
11230,VIC_conus,01591400,1998-10-01,1999-09-30,0.6695734907133214,-0.21817097660075024
11231,VIC_conus,01594950,1989-10-01,1999-09-30,0.2638903846865106,0.2510396194721317
11232,VIC_conus,01596500,1989-10-01,1990-09-30,0.7598038677317274,0.3271695747865545
11233,VIC_conus,01605500,1990-10-01,1991-09-30,0.5373093035387294,0.41585954549493076
11234,VIC_conus,01606500,1991-10-01,1992-09-30,0.8178810748103482,0.5589971236987503
11235,VIC_conus,01632000,1992-10-01,1993-09-30,-0.1792252272379915,0.33198370280617506
11236,VIC_conus,01632900,1993-10-01,1994-09-30,-1.732345521931185,0.32214686634881695
11237,VIC_conus,01638480,1994-10-01,1995-09-30,0.8735305873969484,-0.11485095531022149
11238,VIC_conus,01664000,1995-10-01,1996-09-30,-1.119938622759984,0.4668665469194655
11239,VIC_conus,01666500,1996-10-01,1997-09-30,0.6370572130049992,0.18511461888828573
11240,VIC_conus,01667500,1997-10-01,1998-09-30,-1.9534226358258642,0.38351364720973447
11241,VIC_conus,01669000,1998-10-01,1999-09-30,-0.9159386038092052,0.09831358509556942
11242,VIC_conus,01669520,1989-10-01,1999-09-30,-0.1636583631558275,0.22907304479879576
11243,VIC_conus,02011400,1989-10-01,1990-09-30,0.6531774799699811,0.46258583252449437
11244,VIC_conus,02013000,1990-10-01,1991-09-30,0.2581282337788944,0.37499843001870403
11245,VIC_conus,02014000,1991-10-01,1992-09-30,0.6108410067510452,0.4919110333920337
11246,VIC_conus,02015700,1992-10-01,1993-09-30,-0.26357735523873527,0.41513120085151556
11247,VIC_conus,02016000,1993-10-01,1994-09-30,0.43591921312182147,0.5475749691078293
11248,VIC_conus,02017500,1994-10-01,1995-09-30,0.25082821927843213,0.3080547089844894
11249,VIC_conus,02018000,1995-10-01,1996-09-30,-0.5109112705660206,0.3203446860084952
11250,VIC_conus,02027000,1996-10-01,1997-09-30,0.4204277305038142,0.26761451963271465
11251,VIC_conus,02027500,1997-10-01,1998-09-30,-1.0184349530649275,0.3051309547508245
11252,VIC_conus,02028500,1998-10-01,1999-09-30,0.610437602081527,0.37777040140898654
11253,VIC_conus,02038850,1989-10-01,1999-09-30,-0.5305199672184404,0.24770006545602807
11254,VIC_conus,02051500,1989-10-01,1990-09-30,0.5405228667808876,0.1393912999189345
11255,VIC_conus,02053800,1990-10-01,1991-09-30,0.6962042885756456,0.4849326119732794
11256,VIC_conus,02055100,1991-10-01,1992-09-30,0.1909447921294236,0.1919229806309264
11257,VIC_conus,02056900,1992-10-01,1993-09-30,-0.37382448495618736,0.3543221503292061
11258,VIC_conus,02059500,1993-10-01,1994-09-30,0.6187600770329373,0.4350636901904563
11259,VIC_conus,02064000,1994-10-01,1995-09-30,0.6854221970973591,0.4768181270899069
11260,VIC_conus,02065500,1995-10-01,1996-09-30,-7.586738499194576,0.19414497650684448
11261,VIC_conus,02070000,1996-10-01,1997-09-30,0.4157583150813966,0.30939819644598576
11262,VIC_conus,02074500,1997-10-01,1998-09-30,-0.708323276197131,0.3081821743384532
11263,VIC_conus,02077200,1998-10-01,1999-09-30,0.12169207680668048,0.3878034431756513
11264,VIC_conus,02081500,1989-10-01,1999-09-30,-0.44112254124163,0.2915450003913641
11265,VIC_conus,02082950,1989-10-01,1990-09-30,0.26547297519161117,0.26241939497841826
11266,VIC_conus,02096846,1990-10-01,1991-09-30,0.20282896924697202,0.19241394329999373
11267,VIC_conus,02102908,1991-10-01,1992-09-30,-0.29250889330613106,-0.3794584977141733
11268,VIC_conus,02111180,1992-10-01,1993-09-30,-0.1379430795218184,0.516463105471017
11269,VIC_conus,02111500,1993-10-01,1994-09-30,-3.7354797230175576,0.22295747725475434
11270,VIC_conus,02112120,1994-10-01,1995-09-30,-0.41581781784455285,0.21479417882793173
11271,VIC_conus,02112360,1995-10-01,1996-09-30,-0.3547246314422108,0.12395423785244508
11272,VIC_conus,02118500,1996-10-01,1997-09-30,0.5840510953298654,0.3520472341806571
11273,VIC_conus,02125000,1997-10-01,1998-09-30,0.21141071193065664,0.3674754916294617
11274,VIC_conus,02140991,1998-10-01,1999-09-30,0.9520854242767304,0.3581685352263261
11275,VIC_conus,02143000,1989-10-01,1999-09-30,-0.08549865988877703,0.29702679683799293
11276,VIC_conus,02149000,1989-10-01,1990-09-30,-0.13895268379342696,0.22042426461726716
11277,VIC_conus,02152100,1990-10-01,1991-09-30,0.5610285973550226,0.14978718922358536
11278,VIC_conus,02178400,1991-10-01,1992-09-30,0.5633241289543611,0.30494246239214506
11279,VIC_conus,02193340,1992-10-01,1993-09-30,-1.313960953938846,0.28516400035035194
